id,nome,indirizzo,provincia,coordinate_lat,coordinate_lon,anno_costituzione,settori_tag,capitale_sociale,valore_produzione,dipendenti,status_attivo
SU00001,TechLogic S.R.L.,"Via Montenapoleone, 15",Milano,45.49351297537843,9.185484473990268,2025,"['IoT', 'Robotica']",17860,1912,2,True
SU00002,GreenHub S.R.L.,"Via Milano, 4",Milano,45.468572766321074,9.207635220778972,2022,['Fintech'],35848,21348,1,False
SU00003,FutureLogic S.R.L.,"Via Brera, 41",Milano,45.44627329633741,9.18776024358986,2020,['Ricerca e Sviluppo'],28668,34197,5,True
SU00004,InnovaDynamics S.R.L.,"Via Brera, 143",Bergamo,45.68251483342605,9.692174225675425,2023,"['E-commerce', 'Blockchain']",14830,34953,1,True
SU00005,CyberEngine S.R.L.,"Corso Buenos Aires, 51",Milano,45.4460602554919,9.173652916897543,2020,"['Salute Digitale', 'Computer e Prodotti Elettronici', 'Ricerca e Sviluppo']",19059,197122,0,True
SU00006,GreenAnalytics S.R.L.,"Via Manzoni, 123",Milano,45.47875666228332,9.1776186127929,2022,"['Automotive Tech', 'Salute Digitale']",10000,70809,2,True
SU00007,CyberSolutions S.R.L.,"Via Garibaldi, 42",Lecco,45.87267034434739,9.36868271367132,2021,"['Automotive Tech', 'Blockchain', 'Robotica']",11246,336214,3,True
SU00008,BioLab S.R.L.,"Via Roma, 93",Milano,45.44449236405748,9.16812119181863,2022,['Robotica'],29250,696644,3,True
SU00009,TechDynamics S.R.L.,"Via Manzoni, 61",Milano,45.51987876092979,9.189376264036662,2025,['Cybersecurity'],57025,157680,3,True
SU00010,SmartVision S.R.L.,"Corso Buenos Aires, 24",Milano,45.47690225101804,9.16839598259919,2025,"['Automotive Tech', 'Ricerca e Sviluppo']",10000,3232,6,True
SU00011,SmartAnalytics S.R.L.,"Via Brera, 92",Milano,45.432988858551255,9.230006961782122,2021,['Salute Digitale'],26504,731862,4,True
SU00012,DigitalLogic S.R.L.,"Corso Buenos Aires, 147",Milano,45.45096427070463,9.207048666695924,2020,"['Servizi di Informazione', 'Energia Rinnovabile', 'Ricerca e Sviluppo']",10000,251065,0,True
SU00013,FutureSolutions S.R.L.,"Corso Buenos Aires, 144",Milano,45.46381115718201,9.171348166868778,2019,"['Automotive Tech', 'Salute Digitale', 'Fabbricazione Macchinari']",10000,187860,0,True
SU00014,TechLab S.R.L.,"Via Garibaldi, 101",Milano,45.48694034837267,9.19893780289548,2021,['Biotecnologie'],10000,909646,4,True
SU00015,FutureEngine S.R.L.,"Via Montenapoleone, 99",Milano,45.42844656776136,9.165588597914363,2021,['Marketing Digitale'],22888,118409,3,True
SU00016,NanoDynamics S.R.L.,"Via Dante, 99",Milano,45.48667083563383,9.232864103762278,2024,"['Ricerca e Sviluppo', 'Intelligenza Artificiale', 'Fintech']",15127,96930,2,True
SU00017,FutureHub S.R.L.,"Via Garibaldi, 136",Pavia,45.155738313170055,9.13005072451247,2023,['Salute Digitale'],26132,287959,0,True
SU00018,CyberSolutions S.R.L.,"Corso Buenos Aires, 117",Pavia,45.18609305329038,9.17787008612717,2025,"['Blockchain', 'Energia Rinnovabile']",11725,123387,1,False
SU00019,InnovaLogic S.R.L.,"Via Montenapoleone, 60",Milano,45.449017346768926,9.193007875729524,2022,"['Blockchain', 'Cleantech', 'Marketing Digitale']",10000,44084,1,False
SU00020,TechDynamics S.R.L.,"Via Milano, 63",Lecco,45.87947063744016,9.385799787432603,2023,"['Cybersecurity', 'Fabbricazione Macchinari']",12230,36026,6,True
SU00021,InnovaSolutions S.R.L.,"Via Roma, 32",Milano,45.46416728066712,9.181479353228712,2019,['Blockchain'],10000,41414,1,True
SU00022,BioHub S.R.L.,"Via Roma, 79",Como,45.84067231091143,9.057597970835703,2021,"['Software & Consulenza Informatica', 'Cybersecurity', 'IoT']",10000,158675,5,True
SU00023,NanoLab S.R.L.,"Via Garibaldi, 21",Pavia,45.17409484763255,9.142342543354754,2020,"['Energia Rinnovabile', 'Salute Digitale', 'Software & Consulenza Informatica']",14079,666985,15,True
SU00024,CyberHub S.R.L.,"Corso Buenos Aires, 28",Milano,45.45166951634623,9.14615739887516,2020,"['Fabbricazione Macchinari', 'Blockchain']",27917,415094,1,True
SU00025,TechWorks S.R.L.,"Via Roma, 68",Milano,45.491061976362154,9.163846858636324,2021,"['Blockchain', 'Salute Digitale']",10000,26309,0,True
SU00026,CyberAnalytics S.R.L.,"Via Roma, 131",Milano,45.41414480956676,9.203692844031103,2023,"['Servizi di Informazione', 'Marketing Digitale']",10430,991,6,False
SU00027,NanoHub S.R.L.,"Via Dante, 126",Milano,45.46287840402705,9.16577967600475,2021,"['Software & Consulenza Informatica', 'Intelligenza Artificiale', 'E-commerce']",10000,143218,0,True
SU00028,FutureVision S.R.L.,"Via Garibaldi, 137",Milano,45.45403188090212,9.165163189665888,2021,['Energia Rinnovabile'],22967,350005,2,False
SU00029,DataSolutions S.R.L.,"Via Roma, 145",Bergamo,45.6935164266794,9.6937620995149,2019,"['Intelligenza Artificiale', 'Automotive Tech']",10000,4696,1,True
